drug_name,g2032r_score,wt_score,met_score,composite_score,mw,tpsa,clogp,cns_mpo,cns_penetrant,target,is_known_ros1_tki,is_candidate,source
Sanguinarine,-8.82,,,-9.32,332.3,40.8,3.43,5.68,True,Immunology & Inflammation related,False,True,selleckchem_L1300
Ginsenoside Rg3,-9.32,,,-9.32,785.0,219.0,2.15,1.5,False,Others,False,True,selleckchem_L1300
Evocalcet,-8.82,,,-9.32,374.5,52.6,4.4,4.05,True,CaSR,False,True,selleckchem_L1300
lurasidone,-9.31,,,-9.31,492.7,56.8,4.26,3.64,False,"5-HT Receptor,Dopamine Receptor",False,True,selleckchem_L1300
Exemestane (FCE 24304),-8.79,,,-9.29,296.4,34.1,4.03,4.79,True,Aromatase,False,True,selleckchem_L1300
Ensartinib (X-396) dihydrochloride,-9.29,,,-9.29,561.4,122.5,4.72,0.46,False,ALK,False,True,selleckchem_L1300
Dolutegravir (GSK1349572),-8.79,,,-9.29,419.4,100.9,1.35,4.07,False,Integrase,False,True,selleckchem_L1300
Trilaciclib dihydrochloride,-8.79,,,-9.29,446.6,91.2,2.72,4.26,False,CDK,False,True,selleckchem_L1300
Minocycline (CL 59806) HCl,-9.28,,,-9.28,457.5,164.6,0.19,1.96,False,Antibiotics,False,True,selleckchem_L1300
Buparvaquone,-8.78,,,-9.28,326.4,54.4,5.12,4.25,True,Anti-infection,False,True,selleckchem_L1300
Ruscogenin,-9.28,,,-9.28,430.6,58.9,4.68,3.23,True,Immunology & Inflammation related,False,True,selleckchem_L1300
Flumatinib (HH-GV-678),-9.28,,,-9.28,562.6,99.2,5.0,1.79,False,"Bcr-Abl,c-Kit,PDGFR",False,True,selleckchem_L1300
Hesperidin,-9.27,,,-9.27,610.6,234.3,-1.16,1.5,False,Others,False,True,selleckchem_L1300
lorlatinib,-8.763,-7.811,-8.701,-9.263,427.5,63.1,4.74,3.22,True,ROS1,True,False,control
Revaprazan Hydrochloride,-8.76,,,-9.26,362.5,41.1,5.1,4.22,True,"ATPase,Proton Pump",False,True,selleckchem_L1300
Tanshinone IIA,-8.76,,,-9.26,294.4,47.3,4.25,5.06,True,Lipase,False,True,selleckchem_L1300
Triamcinolone Acetonide,-8.76,,,-9.26,434.5,93.1,2.42,4.3,False,Glucocorticoid Receptor,False,True,selleckchem_L1300
Talniflumate,-9.25,,,-9.25,414.3,77.5,4.87,3.77,True,"Chloride Channel,Immunology & Inflammation related",False,True,selleckchem_L1300
Cabotegravir (GSK1265744),-8.75,,,-9.25,405.4,100.9,0.96,4.22,False,Integrase,False,True,selleckchem_L1300
Belumosudil (KD025),-9.25,,,-9.25,452.5,104.8,4.82,1.65,False,ROCK,False,True,selleckchem_L1300
Duvelisib (IPI-145),-9.24,,,-9.24,416.9,88.5,4.48,3.53,False,PI3K,False,True,selleckchem_L1300
Bictegravir Sodium,-9.23,,,-9.23,449.4,100.9,1.63,3.75,False,Integrase,False,True,selleckchem_L1300
(S)-crizotinib,-8.728,-8.18,-10.221,-9.228,450.3,78.0,5.04,2.78,False,"MTH1,NUDIX",True,False,selleckchem_L1300
Quillaic acid,-9.22,,,-9.22,486.7,94.8,5.38,1.65,False,Immunology & Inflammation related,False,True,selleckchem_L1300
Deflazacort,-8.72,,,-9.22,441.5,102.3,2.56,4.26,False,Glucocorticoid Receptor,False,True,selleckchem_L1300
Eplerenone (CGP 30083),-8.72,,,-9.22,414.5,82.2,3.12,5.32,False,Mineralocorticoid Receptor,False,True,selleckchem_L1300
Bictegravir,-9.22,,,-9.22,449.4,100.9,1.63,3.75,False,"COVID-19,Integrase",False,True,selleckchem_L1300
